અકળ	ઓળખી ન શકાય એવા
ઐશ્વર્યેયુક્ત	પ્રતાપેયુક્ત, સામર્થીયુક્ત
ઓકણ	ઉલટી કરેલું, બીજાનું ખાધેલ ખાય
ઓખર	બહાર ખુલ્લામાં અયોગ્ય વસ્તુ ગાય ખાઈ જાય એ ઓખર કહેવાય
ઓઘાની ઓથે	શંકુ આકારનો ઘાસનો ઢગલો ભેગા કરે તેને ઓઘો કહેવાય; કડબ (જુવાર-બાજરી)નો ઢગલો 
ઓઘાને ઓથે	શંકુ આકારનો ઘાસના પુરા ભેગા કરે તેને ઓઘો કહેવાય; કુંડા રહિત કે કુંડા સહીત કડબ (જુવાર-બાજરી)નો ઢગલો 
ઓતપ્રોત	એક બીજામાં મળી જવું
ઓપ	ચળકાટ
ઓરનો પછેડો ઓઢીને	બાળક જન્મે ત્યારે જે ગર્ભજાળમાં હોય તે કોથળીને ઓર કહેવાય.
ઓરમાયા	પારકા, બીજી માતાના સંતાન
ઓરો	નજીક
ઓલીકોર	બીજી બાજુ
ઓલીપા	બીજી બાજુ
ઓશિયાળા	બીજાને આધીન વર્તાવવા, લાચાર
ઓસાણ	અનુસંધાન
કજિયો	કંકાશ, ઝઘડો
કટું	કઠણ
કણબી	પટેલ જ્ઞાતિ
કથનમાત્ર 	કહેવા માત્ર
કથી ન જાય	કહી ન શકાય એવી
કદાચિત્	કદાચ
કનક	સોનું, સુવર્ણ
કનિષ્ઠ	છેલ્લા નંબરનું
કપિ	વાંદરો
કમઠાણ	મોટું કાર્ય કરવા માટેની તૈયારી
કમભાગિયો	કમનસીબ
કમાડ	દરવાજો
કરકે	સ્ત્રી
કરડાં વર્તમાન	અઘરા નિયમધર્મ
કરડી	કટાક્ષ
ખંડન	નિષેધ કરવો
મંડન	સ્થાપન, પ્રતિપાદન કરવું
કર-પાતર	હાથ છે એ જ પાત્ર છે
કરભ કાંડા	કોણીથી કાંડા સુધીનો હાથનો ભાગ
કરિયાવર	દીકરીને લગ્ન વખતે માતાપિતા તરફથી આપવામાં આવતી ભેટ
કર્તાવૃત્તિ	હું કર્તા છું એવી જીવની વ્રુતિ
કર્મક્ષેત્ર	કર્મ કરવા માટેનું યોગ્ય સ્થાન કે પ્રદેશ, કર્મભૂમિ
કલેવર	શરીર, દેહ
કલેશનું ઠામણું	કજિયો કે કંકાસનું સ્થાન
 કલ્પ 	બ્રહ્માનો એક દિવસ, અર્થાત્ ૪૩,૨૦,૦૦૦,૦૦૦ વર્ષોનો સમય
કવાયત	તાલીમ, યુદ્ધકળા, સૈનિક શિક્ષણ
કસણી	કસોટી, પરીક્ષા
કસર	ખામી
કસ્તુરી	એક જાતનો સુગંધી છોડ
કળ 	યુક્તિ
કળવું	જાણવું
કળશ ચડી જાય	વિજય થાય
કળીયું	એક પ્રકારનું ખેતીનું સાધન
કળ્યામાં	ઓળખ્યામાં
કંદા	માલ
કાકતીર્થ	કાગડા જ્યાં ચારણે ભેળા થાય તે સ્થળ
કાકવિષ્ટા	કાગળાનું મળ
કાગદી લીંબું	એક પ્રકારનું પાતળી છાલવાળું લીંબુ
કાગભુશંડી	ઋષિનું નામ
કાગવિષ્ટા	કાગળાનું મળ
કાગવે	ગાડાનો આગળનો ભાગ જ્યાં ધુસરી બાંધી હોય
કાટિયાવરણ	ઝગડા ખોર , હલકા વર્ણ
કાણભંગલું	અશુભ પ્રસંગ
 કાણું 	આંધળું
કાફર	અધર્મી
કાફરીયું	વૈશ્યાઓ
કાબરચિતરા	એકથી વધારે રંગના ચાઠા વાળું પ્રાણી, ડેંડુ
કામણ ટુમણ	મંત્ર તંત્ર
કામોરા	અધિકારી, કામ કરવા રાખેલ માણસ
કામ્ય કર્મ	આ લોકની ઈચ્છાથી કરવામાં આવતા કર્મ
કાયસ્થ	કાયસ્થ એટલે બ્રાહ્મણનો પ્રકાર
કાષ્ઠ	લાકડું
કાળોતરો	મોટો ઝેરી નાગ
